종목명,자격구분,주무부처
세무사,국가전문자격,국세청
관세사,국가전문자격,관세청
관광통역안내사(영어),국가전문자격,문화체육관광부
국내여행안내사,국가전문자격,문화체육관광부
호텔경영사,국가전문자격,문화체육관광부
호텔관리사,국가전문자격,문화체육관광부
관광통역안내사(불어),국가전문자격,문화체육관광부
정수시설운영관리사3급,국가전문자격,환경부
정수시설운영관리사2급,국가전문자격,환경부
정수시설운영관리사1급,국가전문자격,환경부
기계경비지도사,국가전문자격,경찰청
일반경비지도사,국가전문자격,경찰청
문화재수리기술자(식물보호),국가전문자격,문화재청
문화재수리기술자(보존과학),국가전문자격,문화재청
관광통역안내사(독어),국가전문자격,문화체육관광부
관광통역안내사(스페인어),국가전문자격,문화체육관광부
관광통역안내사(러시아어),국가전문자격,문화체육관광부
검량사,국가전문자격,해양수산부
감정사,국가전문자격,해양수산부
관광통역안내사(일본어),국가전문자격,문화체육관광부
한국어교육능력검정시험,국가전문자격,문화체육관광부
문화재수리기술자(조경),국가전문자격,문화재청
문화재수리기술자(실측설계),국가전문자격,문화재청
문화재수리기술자(보수),국가전문자격,문화재청
문화재수리기술자(단청),국가전문자격,문화재청
가맹거래사,국가전문자격,공정거래위원회
박물관및미술관준학예사,국가전문자격,문화체육관광부
사회복지사 1급,국가전문자격,보건복지부
변리사,국가전문자격,특허청
공인노무사,국가전문자격,고용노동부
물류관리사,국가전문자격,국토교통부
농산물품질관리사,국가전문자격,농림축산식품부
주택관리사보,국가전문자격,국토교통부
소방시설관리사,국가전문자격,소방청
소방안전교육사,국가전문자격,소방청
공인중개사,국가전문자격,국토교통부
경영지도사(1차공통),국가전문자격,중소벤처기업부
기술지도사(1차공통),국가전문자격,중소벤처기업부
검수사,국가전문자격,해양수산부
관광통역안내사(중국어),국가전문자격,문화체육관광부
호텔서비스사,국가전문자격,문화체육관광부
경영지도사(인적자원관리),국가전문자격,중소벤처기업부
경영지도사(재무관리),국가전문자격,중소벤처기업부
경영지도사(생산관리),국가전문자격,중소벤처기업부
경영지도사(마케팅),국가전문자격,중소벤처기업부
문화재수리기능자(대목수),국가전문자격,문화재청
문화재수리기능자(소목수),국가전문자격,문화재청
문화재수리기능자(가공석공),국가전문자격,문화재청
문화재수리기능자(쌓기석공),국가전문자격,문화재청
문화재수리기능자(화공),국가전문자격,문화재청
문화재수리기능자(드잡이공),국가전문자격,문화재청
문화재수리기능자(번와와공),국가전문자격,문화재청
문화재수리기능자(제작와공),국가전문자격,문화재청
문화재수리기능자(한식미장공),국가전문자격,문화재청
문화재수리기능자(철물공),국가전문자격,문화재청
문화재수리기능자(목조각공),국가전문자격,문화재청
문화재수리기능자(석조각공),국가전문자격,문화재청
문화재수리기능자(칠공),국가전문자격,문화재청
문화재수리기능자(도금공),국가전문자격,문화재청
문화재수리기능자(표구공),국가전문자격,문화재청
문화재수리기능자(조경공),국가전문자격,문화재청
문화재수리기능자(세척공),국가전문자격,문화재청
문화재수리기능자(보존처리공),국가전문자격,문화재청
문화재수리기능자(식물보호공),국가전문자격,문화재청
문화재수리기능자(실측설계사보),국가전문자격,문화재청
문화재수리기능자(박제및표본제작공),국가전문자격,문화재청
감정평가사,국가전문자격,국토교통부
문화재수리기능자(훈증공),국가전문자격,문화재청
배관기능사보,국가기술자격,고용노동부
도자공예기능사,국가기술자격,고용노동부
산업기계정비기능사2급,국가기술자격,고용노동부
발전기계설비기능사2급,국가기술자격,고용노동부
중식조리기능사,국가기술자격,식품의약품안전처
복어조리기능사,국가기술자격,식품의약품안전처
사진기능사2급,국가기술자격,고용노동부
조주기능사,국가기술자격,식품의약품안전처
압연기능사보,국가기술자격,고용노동부
주물조형기능사보,국가기술자격,고용노동부
피아노조율기능사,국가기술자격,고용노동부
이용사,국가기술자격,보건복지부
한식조리기능사,국가기술자격,식품의약품안전처
